Step      	Episode   	Epsilon   	Alpha     	AvgEvalStep    
1000      	21        	0.0500    	0.4961    	23             
2000      	28        	0.0500    	0.4921    	20             
3000      	46        	0.0500    	0.4882    	58             
4000      	67        	0.0500    	0.4843    	194            
5000      	87        	0.0500    	0.4803    	8732           
6000      	90        	0.0500    	0.4764    	50             
7000      	98        	0.0500    	0.4724    	5539           
8000      	105       	0.0500    	0.4684    	11071          
9000      	112       	0.0500    	0.4644    	5280           
10000     	116       	0.0500    	0.4605    	29             
11000     	119       	0.0500    	0.4565    	459            
12000     	122       	0.0500    	0.4525    	7239           
13000     	125       	0.0500    	0.4485    	1387           
14000     	129       	0.0500    	0.4445    	13926          
15000     	132       	0.0500    	0.4405    	4952           
16000     	134       	0.0500    	0.4365    	3960           
17000     	136       	0.0500    	0.4325    	9349           
18000     	139       	0.0500    	0.4286    	239            
19000     	145       	0.0500    	0.4246    	3350           
20000     	149       	0.0500    	0.4206    	14990          
21000     	157       	0.0500    	0.4166    	4395           
22000     	160       	0.0500    	0.4126    	13528          
23000     	162       	0.0500    	0.4086    	9407           
24000     	164       	0.0500    	0.4047    	1864           
25000     	166       	0.0500    	0.4007    	6023           
26000     	168       	0.0500    	0.3967    	31434          
27000     	173       	0.0500    	0.3927    	18490          
28000     	175       	0.0500    	0.3887    	26             
29000     	178       	0.0500    	0.3847    	150            
30000     	179       	0.0500    	0.3807    	4850           
31000     	183       	0.0500    	0.3767    	1270           
32000     	186       	0.0500    	0.3727    	9881           
33000     	187       	0.0500    	0.3687    	14747          
34000     	188       	0.0500    	0.3648    	7734           
35000     	191       	0.0500    	0.3608    	4937           
36000     	193       	0.0500    	0.3568    	1351           
37000     	196       	0.0500    	0.3528    	858            
38000     	199       	0.0500    	0.3488    	10565          
39000     	204       	0.0500    	0.3448    	225            
40000     	205       	0.0500    	0.3408    	23435          
41000     	213       	0.0500    	0.3369    	4980           
42000     	216       	0.0500    	0.3329    	547            
43000     	216       	0.0500    	0.3289    	812            
44000     	217       	0.0500    	0.3249    	9275           
45000     	223       	0.0500    	0.3209    	10300          
46000     	224       	0.0500    	0.3169    	4620           
47000     	227       	0.0500    	0.3129    	282            
48000     	229       	0.0500    	0.3089    	833            
49000     	233       	0.0500    	0.3049    	403            
50000     	234       	0.0500    	0.3009    	11663          
51000     	234       	0.0500    	0.2969    	6410           
52000     	234       	0.0500    	0.2929    	4935           
53000     	235       	0.0500    	0.2889    	6077           
54000     	235       	0.0500    	0.2849    	164            
55000     	236       	0.0500    	0.2809    	6488           
56000     	237       	0.0500    	0.2769    	12728          
57000     	237       	0.0500    	0.2729    	7571           
58000     	238       	0.0500    	0.2690    	4615           
59000     	240       	0.0500    	0.2650    	4136           
60000     	242       	0.0500    	0.2610    	1048           
61000     	242       	0.0500    	0.2570    	729            
62000     	243       	0.0500    	0.2530    	19488          
63000     	243       	0.0500    	0.2490    	21389          
64000     	246       	0.0500    	0.2450    	7918           
65000     	249       	0.0500    	0.2410    	11676          
66000     	250       	0.0500    	0.2370    	980            
67000     	252       	0.0500    	0.2330    	667            
68000     	253       	0.0500    	0.2290    	526            
69000     	256       	0.0500    	0.2250    	9551           
70000     	257       	0.0500    	0.2210    	596            
71000     	258       	0.0500    	0.2170    	7299           
72000     	258       	0.0500    	0.2130    	31531          
73000     	259       	0.0500    	0.2090    	797            
74000     	262       	0.0500    	0.2050    	113            
75000     	264       	0.0500    	0.2011    	28303          
76000     	266       	0.0500    	0.1971    	1403           
77000     	267       	0.0500    	0.1931    	7785           
78000     	268       	0.0500    	0.1891    	8519           
79000     	268       	0.0500    	0.1851    	6196           
80000     	269       	0.0500    	0.1811    	17213          
81000     	270       	0.0500    	0.1771    	270            
82000     	271       	0.0500    	0.1731    	138755         
83000     	272       	0.0500    	0.1691    	4871           
84000     	273       	0.0500    	0.1651    	10064          
85000     	273       	0.0500    	0.1611    	26075          
86000     	274       	0.0500    	0.1571    	5313           
87000     	275       	0.0500    	0.1531    	9141           
88000     	276       	0.0500    	0.1491    	20189          
89000     	278       	0.0500    	0.1451    	2993           
90000     	279       	0.0500    	0.1411    	890            
91000     	279       	0.0500    	0.1371    	1124           
92000     	280       	0.0500    	0.1331    	640            
93000     	281       	0.0500    	0.1291    	486            
94000     	283       	0.0500    	0.1251    	820            
95000     	284       	0.0500    	0.1211    	4110           
96000     	288       	0.0500    	0.1172    	9902           
97000     	288       	0.0500    	0.1132    	3379           
98000     	289       	0.0500    	0.1092    	35888          
99000     	289       	0.0500    	0.1052    	9440           
100000    	292       	0.0500    	0.1012    	825            
101000    	292       	0.0500    	0.1000    	782            
102000    	292       	0.0500    	0.1000    	632            
